,Name,IMDB Rating,Duration,Year,Age,Subtitles Available,Genres,Subtitles
0,The Legend of Tarzan,6.3,109 min,2016,13+,CC,Action/Adventure,English [CC]
1,The Conjuring 2,7.4,133 min,2016,18+,CC,"Horror, Thriller",
2,Anomalisa,7.3,90 min,2015,18+,CC,"Animated, Drama: Mature","English [CC], हिन्दी"
3,Baghtos Kay Mujra Kar,8.8,141 min,2017,NR,CC,"Drama: Family, Drama: Mystery, Romance: Drama, World Cinema: Indian",English [CC]
4,13 Hours: The Secret Soldiers of Benghazi,7.3,144 min,2016,NR,CC,Drama,"English [CC], हिन्दी"
5,Zoolander 2,4.8,101 min,2016,NR,CC,Comedy,English [CC]
6,Shivaay,6.5,153 min,2016,13+,CC,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",English
7,Ae Dil Hai Mushkil,5.8,155 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English [CC]
8,Baar Baar Dekho,5.2,135 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, Sci-Fi/Fantasy, World Cinema: Indian",English
9,Shor Se Shuruaat,7.3,122 min,2016,13+,CC,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",English [CC]
10,Kabali,6.6,143 min,2016,All Ages,CC,"Action/Adventure: Crime, Drama: Crime, World Cinema: Indian",English [CC]
11,Gangster,6.6,139 min,2016,18+,,"Romance, Romance: Thriller, World Cinema: Indian",
12,Magic Mike XXL,5.7,115 min,2015,18+,CC,"Comedy: Drama, Comedy: Mature, Music/Musical: Ballet/Dance","English, English [CC]"
13,Wajah Tum Ho,4.3,130 min,2016,18+,CC,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery, World Cinema: Indian",English [CC]
14,Sultan,7.2,169 min,2016,13+,CC,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, Sport: Wrestling, World Cinema: Indian",English
15,Terminator Genisys,6.5,125 min,2015,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots",English
16,Get Hard,6.0,100 min,2015,18+,CC,"Comedy: Crime, Comedy: Mature","English, English [CC]"
17,Tum Bin II,4.9,140 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English [CC]
18,Hamari Adhuri Kahani,6.6,128 min,2015,All Ages,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English [CC]
19,Khawto,6.6,131 min,2016,18+,,"Thriller: Drama, Thriller: Romance, World Cinema: Indian",
20,Rock On 2,5.0,141 min,2016,NR,CC,"Drama: Musical, World Cinema: Indian",English [CC]
21,Striptease,4.3,115 min,1996,18+,CC,"Comedy: Crime, Comedy: Drama, Comedy: Mature",English [CC]
22,Batman v Superman: Dawn of Justice,6.7,151 min,2016,13+,CC,Action/Adventure: Superheroes,English [CC]
23,Kapoor & Sons,7.8,137 min,2016,13+,CC,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",English
24,Humpty Sharma Ki Dulhania,6.0,131 min,2014,13+,,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",
25,She’s Out of My League,6.4,104 min,2010,18+,CC,"Comedy, Comedy: Mature","English [CC], हिन्दी"
26,Rocket Singh Salesman of the Year,7.5,154 min,2009,13+,CC,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",English
27,Mission: Impossible – Rogue Nation,7.4,131 min,2015,13+,CC,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Thriller: Action/Adventure",हिन्दी
28,The Dictator,6.4,83 min,2012,18+,CC,Comedy: Mature,English [CC]
29,Detective Byomkesh Bakshy,7.7,138 min,2015,16+,CC,"Bollywood, Bollywood: Thriller, Thriller, Thriller: Crime, Thriller: Mystery, World Cinema: Indian",English
30,EIC: Outrage,,63 min,2017,NR,CC,"Comedy: Stand-up, World Cinema: Indian",English
31,Naveen Richard: Don’t Make That Face,,56 min,2017,NR,CC,"Comedy: Stand-up, World Cinema: Indian",English
32,Jack Reacher,7.0,130 min,2012,13+,CC,"Action/Adventure: Espionage & Spies, Drama: Crime, Drama: Mystery","English, हिन्दी"
33,Dum Laga Ke Haisha,7.5,110 min,2015,NR,CC,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",English
34,Shaandaar,3.6,142 min,2015,13+,CC,"Bollywood: Comedy, Comedy: Drama, Comedy: Romance, World Cinema: Indian",English
35,Sliver,4.9,106 min,1993,18+,CC,"Drama: Crime, Drama: Mystery, Drama: Thriller, Thriller: Drama, Thriller: Mystery",English
36,Kaashmora,5.7,161 min,2016,13+,CC,"Horror: Comedy, Horror: Ghosts/Supernatural, World Cinema: Indian",English [CC]
37,Kabali,6.6,143 min,2016,All Ages,CC,"Action/Adventure: Crime, Drama: Crime, World Cinema: Indian",English [CC]
38,Fan,7.3,138 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Crime, Thriller: Drama, World Cinema: Indian",English
39,Tum Bin II,4.9,140 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English [CC]
40,Ae Dil Hai Mushkil,5.8,155 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English [CC]
41,Shivaay,6.5,153 min,2016,13+,CC,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Crime, World Cinema: Indian",English
42,13 Hours: The Secret Soldiers of Benghazi,7.3,144 min,2016,NR,CC,Drama,"English [CC], हिन्दी"
43,The Conjuring 2,7.4,133 min,2016,18+,CC,"Horror, Thriller",
44,The Legend of Tarzan,6.3,109 min,2016,13+,CC,Action/Adventure,English [CC]
45,Sultan,7.2,169 min,2016,13+,CC,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, Sport: Wrestling, World Cinema: Indian",English
46,Baar Baar Dekho,5.2,135 min,2016,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, Sci-Fi/Fantasy, World Cinema: Indian",English
47,Wajah Tum Ho,4.3,130 min,2016,18+,CC,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, Thriller: Mystery, World Cinema: Indian",English [CC]
48,Dil Dhadakne Do,6.8,171 min,2015,13+,CC,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",English [CC]
49,Baghtos Kay Mujra Kar,8.8,141 min,2017,NR,CC,"Drama: Family, Drama: Mystery, Romance: Drama, World Cinema: Indian",English [CC]
50,Yeh Jawaani Hai Deewani,7.0,160 min,2013,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English
51,Sarbjit,7.3,126 min,2016,13+,CC,"Bollywood: Drama, Drama: Biography, Drama: Bollywood, Drama: Historical, Drama: Political, World Cinema: Indian",English [CC]
52,Middle Men,6.6,112 min,2010,18+,CC,"Comedy: Crime, Drama: Comedy, Drama: Crime, Drama: Historical","English [CC], हिन्दी"
53,Student Of The Year,5.5,145 min,2012,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English
54,Hamari Adhuri Kahani,6.6,128 min,2015,All Ages,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English [CC]
55,Piku,7.6,117 min,2015,13+,CC,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",English
56,Ab…Bas,3.4,138 min,2004,18+,CC,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, World Cinema: Indian",English
57,Terminator Genisys,6.5,125 min,2015,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots",English
58,Theri,7.2,150 min,2016,All Ages,CC,"Action/Adventure: Crime, Drama: Crime, Drama: Romance, World Cinema: Indian",English
59,Road Trip,6.5,93 min,2000,18+,CC,"Comedy: Action/Adventure, Comedy: Mature",English [CC]
60,Collateral,7.6,119 min,2004,18+,CC,"Action/Adventure: Crime, Drama: Crime, Drama: Thriller, Thriller: Drama","English [CC], हिन्दी"
61,Zindagi Na Milegi Dobara,8.1,153 min,2011,All Ages,CC,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",English
62,Forrest Gump,8.8,142 min,1994,13+,CC,"Comedy: Drama, Drama: Comedy, Drama: Romance",English [CC]
63,The Godfather,9.2,177 min,1972,NR,CC,Drama: Crime,"English [CC], हिन्दी"
64,Into The Wild,8.1,148 min,2007,18+,CC,"Action/Adventure, Drama: Biography",English [CC]
65,Love Games,4.3,108 min,2016,18+,CC,"Bollywood: Drama, Bollywood: Thriller, Drama: Bollywood, Drama: Mature, Drama: Thriller, Thriller: Crime, World Cinema: Indian",English [CC]
66,Ladies vs Ricky Bahl,6.0,139 min,2011,13+,CC,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, Romance: Drama, World Cinema: Indian",English
67,Lakshya,7.9,177 min,2004,NR,CC,"Bollywood: Drama, Drama: Bollywood, Drama: War, World Cinema: Indian",English
68,The Curious Case Of Benjamin Button,7.8,166 min,2008,13+,CC,"Drama: Romance, Romance: Drama, Sci-Fi/Fantasy",
69,Zoolander 2,4.8,101 min,2016,NR,CC,Comedy,English [CC]
70,Brothers,6.7,155 min,2015,13+,CC,"Bollywood: Drama, Drama: Bollywood, Sport: Boxing, World Cinema: Indian",English
71,Munich (2005),7.6,163 min,2005,18+,CC,"Drama: Crime, Drama: Historical, Drama: Political, Drama: Thriller, Thriller: Drama, Thriller: Political",English [CC]
72,Chak De India,8.3,148 min,2007,7+,,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Sport, World Cinema: Indian",
73,Dil Chahta Hai,8.2,183 min,2001,All Ages,,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Comedy, Drama: Romance, Romance: Drama, World Cinema: Indian",
74,Titli,7.6,111 min,2015,18+,,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",
75,Badmaash Company,6.0,141 min,2010,13+,,"Bollywood, Bollywood: Drama, Drama, Drama: Crime, Drama: Romance, World Cinema: Indian",
76,Bewakoofiyaan,5.5,117 min,2014,13+,,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Comedy: Romance, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",
77,Vangaveeti,6.7,139 min,2016,18+,CC,"Drama: Crime, Drama: Political, World Cinema: Indian",English [CC]
78,Andaz Apna Apna,8.4,153 min,1994,All Ages,,"Bollywood: Comedy, Bollywood: Romance, Comedy, Romance, World Cinema: Indian",
79,Befikre – Trailer,3.6,2 min,2016,NR,,"Drama: Comedy, Romance",
80,Dhruvangal Pathinaru,,104 min,2016,13+,CC,"Thriller: Crime, Thriller: Mystery, Thriller: Psychological",English [CC]
81,Raaz Reboot,4.5,127 min,2016,18+,CC,"Bollywood: Horror, Horror: Ghosts/Supernatural, World Cinema: Indian",English
82,Junooniyat,4.3,122 min,2016,All Ages,CC,"Bollywood: Romance, Romance: Drama, World Cinema: Indian",English [CC]
83,Ghost,7.0,126 min,1990,18+,CC,"Drama, Drama: Crime, Romance",हिन्दी
84,War of the Worlds (2005),6.5,116 min,2005,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Action/Adventure: Thriller, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien, Sci-Fi/Fantasy: Thriller","English, हिन्दी"
85,Escape From Alcatraz,7.6,111 min,1979,7+,CC,"Action/Adventure: Crime, Drama: Biography",English [CC]
86,Talaash,7.3,138 min,2012,13+,CC,"Bollywood: Thriller, Thriller: Drama, Thriller: Mystery, World Cinema: Indian",English
87,Jab Tak Hai Jaan,6.9,176 min,2012,13+,CC,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",English
88,Hasee Toh Phasee,6.9,134 min,2014,13+,,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",
89,Eyes Wide Shut,7.3,159 min,1999,18+,,"Drama: Mystery, Drama: Thriller, Erotic",
90,Young Adult,6.3,93 min,2011,18+,CC,"Comedy: Drama, Drama: Comedy","English [CC], हिन्दी"
91,Murder,5.4,128 min,2004,NR,,"Bollywood: Thriller, Bollywood: Romance, Romance: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian",
92,Top Gun,6.9,109 min,1986,7+,CC,"Action/Adventure: Thriller, Drama: Romance","English, हिन्दी"
93,Hugo,7.5,126 min,2011,7+,CC,"Family: Action/Adventure, Family: Drama","English, हिन्दी"
94,No Country for Old Men,8.1,122 min,2007,18+,CC,"Drama: Crime, Drama: Thriller, Thriller: Action/Adventure, Thriller: Crime, Thriller: Drama",English
95,Exorcist: The Beginning,5.1,113 min,2004,18+,CC,"Horror, Thriller: Mystery, Thriller",English [CC]
96,Band Baaja Baaraat,7.3,139 min,2010,7+,,"Bollywood, Bollywood: Comedy, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",
97,Saving Private Ryan,8.6,169 min,1998,18+,CC,"Action/Adventure: Epic, Action/Adventure: Historical, Action/Adventure: War, Drama: War",
98,Shor Se Shuruaat,7.3,122 min,2016,13+,CC,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",English [CC]
99,Get Hard,6.0,100 min,2015,18+,CC,"Comedy: Crime, Comedy: Mature","English, English [CC]"
100,Anomalisa,7.3,90 min,2015,18+,CC,"Animated, Drama: Mature","English [CC], हिन्दी"
101,Minority Report,7.7,145 min,2002,18+,CC,"Action/Adventure: Crime, Action/Adventure: Sci-fi/Fantasy, Drama: Thriller, Sci-Fi/Fantasy: Action/Adventure",English
102,Luv Ka The End,4.8,106 min,2011,NR,,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",
103,Don 2,7.1,145 min,2011,13+,CC,"Action/Adventure: Crime, Bollywood: Action/Adventure, World Cinema: Indian",English
104,The Godfather Part II,9.0,202 min,1974,18+,CC,"Drama: Crime, Drama: Historical","English, हिन्दी"
105,Mystic River,8.0,137 min,2003,18+,CC,"Action/Adventure, Drama: Mystery, Drama: Crime, Thriller, Action/Adventure: Crime",
106,The Ring,7.1,115 min,2002,13+,CC,Horror: Ghosts/Supernatural,English
107,Dostana,6.5,142 min,2008,13+,,"Bollywood: Comedy, Comedy: Drama, Comedy: Romance, World Cinema: Indian",
108,World War Z,7.0,116 min,2013,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Horror: Zombies, Sci-Fi/Fantasy: Action/Adventure","English [CC], हिन्दी"
109,Family Katta,8.3,124 min,2016,All Ages,CC,"Drama, World Cinema: Indian",English
110,Bachna Ae Haseeno,6.2,152 min,2008,13+,,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Comedy, Romance: Drama, World Cinema: Indian",
111,Gippi,5.6,93 min,2013,13+,,"Bollywood: Comedy, Bollywood: Drama, Drama: Bollywood, Teen: Comedy, Teen: Drama, World Cinema: Indian",
112,Shuddh Desi Romance,5.8,126 min,2013,13+,CC,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Comedy, Romance, World Cinema: Indian",English
113,Orphan,7.0,122 min,2009,18+,CC,"Horror: Thriller, Thriller: Horror, Thriller: Mystery",English [CC]
114,Darling,3.8,126 min,2007,18+,CC,"Bollywood: Horror, Horror: Ghosts/Supernatural, World Cinema: Indian",English
115,Live Die Repeat: Edge of Tomorrow,7.9,113 min,2014,13+,CC,"Action/Adventure, Action/Adventure: War, Sci-Fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure",
116,Rab Ne Bana Di Jodi,7.2,163 min,2008,13+,,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Comedy, Romance, World Cinema: Indian",
117,Hum Tum,7.1,142 min,2004,7+,,"Bollywood: Comedy, Bollywood: Drama, Bollywood: Romance, Comedy: Drama, Romance: Drama, World Cinema: Indian",
118,My Dad Thinks He’s Funny,7.4,62 min,2017,NR,CC,"Comedy: Stand-up, World Cinema: Indian",English
119,Fukrey,6.9,135 min,2013,13+,CC,"Bollywood: Comedy, Bollywood: Drama, Comedy: Drama, Drama: Bollywood, Drama: Comedy, World Cinema: Indian",English
120,Mission: Impossible III,6.9,125 min,2006,13+,,"Action/Adventure: Espionage & Spies, Thriller: Action/Adventure",
121,Richie Rich (1994),,94 min,1994,7+,CC,"Comedy: Family, Family: Comedy","English, English [CC]"
122,Obsessive Comedic Disorder,8.0,80 min,2016,18+,CC,World Cinema: Indian,English
123,Salaam Namaste,6.2,158 min,2005,13+,,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Comedy, Romance, World Cinema: Indian",
124,Citylights,7.2,126 min,2014,13+,CC,"Bollywood, Bollywood: Drama, Drama, Drama: Bollywood, Drama: Crime, Drama: Thriller, World Cinema: Indian",English
125,Up in the Air,7.4,109 min,2009,18+,CC,Drama,English
126,The Devil’s Advocate,7.5,144 min,1997,18+,CC,"Drama: Mystery, Drama: Thriller",English [CC]
127,The Italian Job (2003),7.0,110 min,2003,13+,CC,Action/Adventure: Crime,English [CC]
128,Daawat-e-Ishq,6.2,118 min,2014,7+,CC,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, Romance: Drama, World Cinema: Indian",English
129,A Perfect Murder,6.5,107 min,1998,18+,CC,"Drama: Crime, Drama: Thriller, Thriller: Crime, Thriller: Drama",English [CC]
130,Mujhse Fraaandship Karoge,7.0,104 min,2011,NR,,"Bollywood: Romance, Romance: Comedy, Romance: Drama, World Cinema: Indian",
131,Dhoom:3,5.4,170 min,2013,13+,CC,"Action/Adventure: Crime, Action/Adventure: Thriller, Bollywood: Action/Adventure, World Cinema: Indian",English
132,Veer Zaara,7.9,192 min,2004,All Ages,,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",
133,Four Brothers,6.9,108 min,2005,18+,,"Action/Adventure: Crime, Drama: Crime",
134,Black Hawk Down,7.7,144 min,2002,18+,CC,"Action/Adventure, Action/Adventure: War, Drama, Drama: Historical, Drama: War",English [CC]
135,Transformers: Age of Extinction,5.7,165 min,2014,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots",हिन्दी
136,Ek Tha Tiger,5.4,132 min,2012,13+,CC,"Action/Adventure: Espionage & Spies, Bollywood: Action/Adventure, Bollywood: Romance, Romance: Action/Adventure, World Cinema: Indian",English
137,John Grisham’s The Rainmaker,7.1,135 min,1997,18+,CC,"Drama, Drama: Crime, Thriller: Drama",
138,The Prestige,8.5,130 min,2006,13+,CC,"Drama: Crime, Drama: Historical, Drama: Mystery, Drama: Thriller, Thriller: Sci-Fi/Fantasy",
139,Lemony Snicket’s Series Of Unfortunate Events (DreamWorks),6.8,107 min,2004,7+,CC,"Family: Action/Adventure, Family: Comedy",English [CC]
140,Gangster,6.6,139 min,2016,18+,,"Romance, Romance: Thriller, World Cinema: Indian",
141,Phas Gaye Re Obama,7.5,115 min,2010,18+,CC,"Bollywood: Comedy, Comedy: Crime, World Cinema: Indian",English [CC]
142,Neal n Nikki,3.3,101 min,2005,13+,,"Bollywood: Comedy, Comedy: Drama, Comedy: Romance, World Cinema: Indian",
143,Kabhi Alvida Naa Kehna,6.1,191 min,2006,13+,,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",
144,Shahid,8.3,112 min,2013,13+,CC,"Bollywood: Drama, Drama: Biography, Drama: Bollywood, Drama: Political, World Cinema: Indian",English
145,Dilwale Dulhania Le Jayenge,8.2,189 min,1995,7+,CC,"Bollywood, Bollywood: Romance, Romance, Romance: Drama, World Cinema: Indian","English (India), English (US)"
146,Annabelle (2014),5.4,98 min,2014,18+,CC,"Thriller, Horror",English [CC]
147,Kamla Ki Maut,7.5,94 min,1989,18+,CC,"Bollywood: Drama, Drama: Bollywood, World Cinema: Indian",English [CC]
148,Ta Ra Rum Pum,5.5,155 min,2007,7+,,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Romance, World Cinema: Indian",
149,Dhoom:2,6.4,151 min,2006,13+,CC,"Action/Adventure, Action/Adventure: Crime, Bollywood, Bollywood: Action/Adventure, World Cinema: Indian",English
150,Revolutionary Road,7.3,118 min,2008,18+,CC,Drama,"English [CC], हिन्दी"
151,The Hunt for Red October,7.6,135 min,1990,7+,CC,"Action/Adventure: Espionage & Spies, Action/Adventure: Thriller, Drama: Political, Thriller: Action/Adventure",हिन्दी
152,Ace Ventura: Pet Detective,6.9,85 min,1994,13+,CC,"Comedy, Comedy: Slapstick",English [CC]
153,Mean Girls,7.0,96 min,2004,18+,CC,"Teen: Comedy, Teen: Drama",English
154,Poseidon,5.6,98 min,2006,13+,CC,"Action/Adventure: Thriller, Thriller: Action/Adventure","English, English [CC]"
155,Joker,8.8,129 min,2016,All Ages,CC,"Drama: Political, World Cinema: Indian","English [CC], Français [CC]"
156,Love Story,6.9,100 min,1970,7+,CC,"Drama: Romance, Romance: Drama",English
157,A Beautiful Mind,8.2,135 min,2001,13+,CC,"Drama, Drama: Biography, Drama: Historical",
158,Breakfast at Tiffany’s,7.7,114 min,1961,NR,CC,"Comedy, Romance",हिन्दी
159,New York,6.8,151 min,2009,13+,,"Bollywood: Thriller, Thriller: Crime, Thriller: Drama, World Cinema: Indian",
160,Shooter,7.2,125 min,2007,18+,CC,"Action/Adventure: Crime, Drama: Crime",English
161,Bangistan,4.6,132 min,2015,13+,,"Bollywood: Comedy, Comedy: Crime, Comedy: Drama, World Cinema: Indian",
162,Krishnagadi Veera Prema Gaadha,7.7,145 min,2016,13+,,"Comedy: Romance, Drama: Comedy, World Cinema: Indian",
163,The Untouchables,7.9,119 min,1987,18+,CC,"Drama: Crime, Drama: Historical, Drama: Thriller, Thriller: Crime, Thriller: Drama",English [CC]
164,Murder 3,4.8,123 min,2013,13+,,"Bollywood, Bollywood: Thriller, Thriller, Thriller: Drama, World Cinema: Indian",
165,Kabul Express,6.9,104 min,2006,16+,,"Bollywood: Action/Adventure, World Cinema: Indian",
166,Watchmen,7.6,162 min,2009,18+,CC,"Action/Adventure: Superheroes, Drama: Mystery","English, English [CC]"
167,Rocknrolla,7.3,114 min,2008,18+,CC,"Action/Adventure: Crime, Thriller: Crime",English [CC]
168,Primal Fear,7.7,130 min,1996,18+,CC,"Drama: Crime, Drama: Mystery, Thriller: Drama",English [CC]
169,Kal Ho Naa Ho,8.0,187 min,2003,All Ages,,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Romance, Romance: Drama, World Cinema: Indian",
170,Star Trek Into Darkness,7.8,132 min,2013,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English, हिन्दी"
171,Khawto,6.6,131 min,2016,18+,,"Thriller: Drama, Thriller: Romance, World Cinema: Indian",
172,Magic Mike XXL,5.7,115 min,2015,18+,CC,"Comedy: Drama, Comedy: Mature, Music/Musical: Ballet/Dance","English, English [CC]"
173,Krazzy 4,4.1,109 min,2008,13+,CC,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",English
174,Old School,7.2,90 min,2003,18+,CC,"Comedy, Comedy: Mature",
175,Siddhartha,5.9,124 min,2016,18+,CC,"Drama: Romance, Romance: Drama, World Cinema: Indian",English
176,Pyaar Impossible,4.7,140 min,2010,7+,,"Bollywood: Comedy, Bollywood: Romance, Comedy: Romance, Romance: Drama, World Cinema: Indian",
177,Police Academy,6.7,96 min,1984,18+,CC,Comedy: Crime,English [CC]
178,Fanaa,7.2,168 min,2006,13+,,"Bollywood, Bollywood: Drama, Bollywood: Romance, Drama, Drama: Bollywood, Drama: Crime, Romance, World Cinema: Indian",
179,Payback (1999),7.1,101 min,1999,18+,CC,"Action/Adventure: Crime, Drama: Crime",English [CC]
180,Mere Brother Ki Dulhan,5.9,139 min,2011,13+,,"Bollywood: Comedy, Bollywood: Romance, Comedy: Drama, Comedy: Romance, Romance: Drama, World Cinema: Indian",
181,Star Trek (2009),8.0,126 min,2009,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien","English, हिन्दी"
182,Darr@ The Mall,5.0,115 min,2014,13+,,"Bollywood: Horror, Bollywood: Thriller, Horror: Ghosts/Supernatural, Horror: Thriller, Thriller: Horror, World Cinema: Indian",
183,Rajadhiraja,7.6,131 min,2015,All Ages,,"Drama, World Cinema: Indian",
184,The English Patient,7.4,161 min,1996,18+,CC,"Drama: War, Drama: Romance, Romance: Drama",English [CC]
185,Thoda Pyaar Thoda Magic,4.9,136 min,2008,7+,,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, World Cinema: Indian",
186,Into the Storm (2014),5.8,89 min,2014,13+,CC,"Action/Adventure: Thriller, Thriller: Action/Adventure",
187,Transformers: Dark of the Moon,6.3,154 min,2011,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Alien, Sci-Fi/Fantasy: Sci-fi – Robots","English [CC], हिन्दी"
188,Cast Away,7.7,143 min,2000,13+,CC,"Action/Adventure: Epic, Drama",English [CC]
189,Gori Tere Pyaar Mein,5.0,144 min,2013,13+,,"Bollywood: Drama, Bollywood: Romance, Drama: Bollywood, Drama: Comedy, Drama: Romance, Romance: Drama, World Cinema: Indian",
190,Kites,6.1,117 min,2010,13+,CC,"Bollywood: Action/Adventure, Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",English
191,Prem Ratan Dhan Payo,4.8,163 min,2015,All Ages,CC,"Bollywood: Drama, Drama: Bollywood, Drama: Romance, World Cinema: Indian",English [CC]
192,Mere Dad Ki Maruti,6.5,101 min,2013,NR,,"Bollywood: Comedy, Comedy: Drama, World Cinema: Indian",
193,Sweet November (2001),6.7,120 min,2001,13+,CC,"Drama: Romance, Romance: Drama",English [CC]
194,The Godfather Part III,7.6,170 min,1990,18+,CC,"Drama: Crime, Drama: Historical","English, हिन्दी"
195,Patiala House,5.9,140 min,2011,All Ages,CC,"Bollywood: Drama, Drama: Bollywood, Drama: Comedy, Drama: Romance, Sport: Cricket, World Cinema: Indian",English
196,Transformers,7.1,143 min,2007,13+,CC,"Action/Adventure: Sci-fi/Fantasy, Sci-Fi/Fantasy: Action/Adventure, Sci-Fi/Fantasy: Sci-fi – Robots",हिन्दी
197,The Good Shepherd,6.7,167 min,2006,18+,CC,"Drama: Historical, Drama: Political, Drama: Thriller, Thriller: Drama, Thriller: Political",English [CC]
